#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/pb),recorded(/pb),avgpu,source
355374:7960,59:59,07/10/22 12:22:13,STABLE BEAMS,6800,0.006638453,0.004592400,32.7,HFET
355374:7960,60:60,07/10/22 12:22:37,STABLE BEAMS,6800,0.006630762,0.004008566,32.6,HFET
355374:7960,61:61,07/10/22 12:23:00,STABLE BEAMS,6800,0.006621237,0.004506439,32.6,HFET
355374:7960,62:62,07/10/22 12:23:23,STABLE BEAMS,6800,0.006611473,0.003574096,32.5,HFET
355374:7960,63:63,07/10/22 12:23:47,STABLE BEAMS,6800,0.006604076,0.004478541,32.5,HFET
355374:7960,64:64,07/10/22 12:24:10,STABLE BEAMS,6800,0.006595161,0.004558139,32.5,HFET
355374:7960,65:65,07/10/22 12:24:33,STABLE BEAMS,6800,0.006587440,0.003664370,32.4,HFET
355374:7960,66:66,07/10/22 12:24:57,STABLE BEAMS,6800,0.006581188,0.004574135,32.4,HFET
355374:7960,67:67,07/10/22 12:25:20,STABLE BEAMS,6800,0.006573195,0.003015573,32.4,HFET
355374:7960,68:68,07/10/22 12:25:43,STABLE BEAMS,6800,0.006566154,0.004370033,32.3,HFET
355374:7960,69:69,07/10/22 12:26:06,STABLE BEAMS,6800,0.006558489,0.004569620,32.3,HFET
355374:7960,70:70,07/10/22 12:26:30,STABLE BEAMS,6800,0.006550108,0.004550610,32.2,HFET
355374:7960,71:71,07/10/22 12:26:53,STABLE BEAMS,6800,0.006544016,0.004564080,32.2,HFET
355374:7960,72:72,07/10/22 12:27:16,STABLE BEAMS,6800,0.006535658,0.004569754,32.2,HFET
355374:7960,73:73,07/10/22 12:27:40,STABLE BEAMS,6800,0.006529041,0.004542457,32.1,HFET
355374:7960,74:74,07/10/22 12:28:03,STABLE BEAMS,6800,0.006522006,0.004027328,32.1,HFET
355374:7960,75:75,07/10/22 12:28:26,STABLE BEAMS,6800,0.006517672,0.004485075,32.1,HFET
355374:7960,76:76,07/10/22 12:28:50,STABLE BEAMS,6800,0.006510624,0.004519779,32.0,HFET
355374:7960,77:77,07/10/22 12:29:13,STABLE BEAMS,6800,0.006503475,0.004532051,32.0,HFET
355374:7960,78:78,07/10/22 12:29:36,STABLE BEAMS,6800,0.006497017,0.004092873,32.0,HFET
355374:7960,79:79,07/10/22 12:30:00,STABLE BEAMS,6800,0.006491037,0.003755695,32.0,HFET
355374:7960,80:80,07/10/22 12:30:23,STABLE BEAMS,6800,0.006483741,0.004522648,31.9,HFET
355374:7960,81:81,07/10/22 12:30:46,STABLE BEAMS,6800,0.006477104,0.004521724,31.9,HFET
355374:7960,82:82,07/10/22 12:31:10,STABLE BEAMS,6800,0.006470302,0.004524459,31.8,HFET
355374:7960,83:83,07/10/22 12:31:33,STABLE BEAMS,6800,0.006464105,0.004527465,31.8,HFET
355374:7960,84:84,07/10/22 12:31:56,STABLE BEAMS,6800,0.006458030,0.000132121,31.8,HFET
355381:7960,1:1,07/10/22 16:11:05,STABLE BEAMS,6800,0.007828375,0.004867814,38.5,HFET
355381:7960,2:2,07/10/22 16:11:28,STABLE BEAMS,6800,0.007821823,0.005066857,38.5,HFET
355381:7960,3:3,07/10/22 16:11:51,STABLE BEAMS,6800,0.007814308,0.005841761,38.5,HFET
355381:7960,4:4,07/10/22 16:12:14,STABLE BEAMS,6800,0.007810155,0.005776598,38.4,HFET
355381:7960,5:5,07/10/22 16:12:38,STABLE BEAMS,6800,0.007802729,0.006621168,38.4,HFET
355381:7960,6:6,07/10/22 16:13:01,STABLE BEAMS,6800,0.007807268,0.006026306,38.4,HFET
355381:7960,7:7,07/10/22 16:13:24,STABLE BEAMS,6800,0.007798999,0.006818196,38.4,HFET
355381:7960,8:8,07/10/22 16:13:48,STABLE BEAMS,6800,0.007795951,0.006784440,38.4,HFET
355381:7960,9:9,07/10/22 16:14:11,STABLE BEAMS,6800,0.007787951,0.005141867,38.3,HFET
355381:7960,10:10,07/10/22 16:14:34,STABLE BEAMS,6800,0.007778158,0.005985066,38.3,HFET
355381:7960,11:11,07/10/22 16:14:58,STABLE BEAMS,6800,0.007773233,0.006178604,38.3,HFET
355381:7960,12:12,07/10/22 16:15:21,STABLE BEAMS,6800,0.007767562,0.006795444,38.2,HFET
355381:7960,13:13,07/10/22 16:15:44,STABLE BEAMS,6800,0.007757392,0.006734477,38.2,HFET
355381:7960,14:14,07/10/22 16:16:08,STABLE BEAMS,6800,0.007755248,0.006658547,38.2,HFET
355381:7960,15:15,07/10/22 16:16:31,STABLE BEAMS,6800,0.007749612,0.006766058,38.1,HFET
355381:7960,16:16,07/10/22 16:16:54,STABLE BEAMS,6800,0.007742968,0.005945274,38.1,HFET
355381:7960,17:17,07/10/22 16:17:17,STABLE BEAMS,6800,0.007738362,0.005789822,38.1,HFET
355381:7960,18:18,07/10/22 16:17:41,STABLE BEAMS,6800,0.007730344,0.006198925,38.1,HFET
355381:7960,19:19,07/10/22 16:18:04,STABLE BEAMS,6800,0.007719013,0.006743601,38.0,HFET
355381:7960,20:20,07/10/22 16:18:27,STABLE BEAMS,6800,0.007710186,0.005754083,38.0,HFET
355381:7960,21:21,07/10/22 16:18:51,STABLE BEAMS,6800,0.007707259,0.006020387,37.9,HFET
355381:7960,22:22,07/10/22 16:19:14,STABLE BEAMS,6800,0.007703651,0.006723730,37.9,HFET
355381:7960,23:23,07/10/22 16:19:37,STABLE BEAMS,6800,0.007698749,0.006625409,37.9,HFET
355381:7960,24:24,07/10/22 16:20:01,STABLE BEAMS,6800,0.007690878,0.006724507,37.9,HFET
355381:7960,25:25,07/10/22 16:20:24,STABLE BEAMS,6800,0.007686921,0.006210522,37.8,HFET
355381:7960,26:26,07/10/22 16:20:47,STABLE BEAMS,6800,0.007681017,0.006718749,37.8,HFET
355381:7960,27:27,07/10/22 16:21:11,STABLE BEAMS,6800,0.007675037,0.006699489,37.8,HFET
355381:7960,28:28,07/10/22 16:21:34,STABLE BEAMS,6800,0.007673030,0.006598152,37.8,HFET
355381:7960,29:29,07/10/22 16:21:57,STABLE BEAMS,6800,0.007675039,0.006714856,37.8,HFET
355381:7960,30:30,07/10/22 16:22:21,STABLE BEAMS,6800,0.007674002,0.006684114,37.8,HFET
355381:7960,31:31,07/10/22 16:22:44,STABLE BEAMS,6800,0.007679330,0.006709114,37.8,HFET
355381:7960,32:32,07/10/22 16:23:07,STABLE BEAMS,6800,0.007684309,0.006030681,37.8,HFET
355381:7960,33:33,07/10/22 16:23:31,STABLE BEAMS,6800,0.007691536,0.006713228,37.9,HFET
355381:7960,34:34,07/10/22 16:23:54,STABLE BEAMS,6800,0.007692336,0.006714672,37.9,HFET
355381:7960,35:35,07/10/22 16:24:17,STABLE BEAMS,6800,0.007693047,0.006721145,37.9,HFET
355381:7960,36:36,07/10/22 16:24:40,STABLE BEAMS,6800,0.007699523,0.006730191,37.9,HFET
355381:7960,37:37,07/10/22 16:25:04,STABLE BEAMS,6800,0.007707237,0.006724860,37.9,HFET
355381:7960,38:38,07/10/22 16:25:27,STABLE BEAMS,6800,0.007712134,0.006730177,38.0,HFET
355381:7960,39:39,07/10/22 16:25:50,STABLE BEAMS,6800,0.007710176,0.006735070,38.0,HFET
355381:7960,40:40,07/10/22 16:26:14,STABLE BEAMS,6800,0.007708576,0.006700524,37.9,HFET
355381:7960,41:41,07/10/22 16:26:37,STABLE BEAMS,6800,0.007708620,0.006742862,37.9,HFET
355381:7960,42:42,07/10/22 16:27:00,STABLE BEAMS,6800,0.007710277,0.006607247,38.0,HFET
355381:7960,43:43,07/10/22 16:27:24,STABLE BEAMS,6800,0.007707460,0.006731652,37.9,HFET
355381:7960,44:44,07/10/22 16:27:47,STABLE BEAMS,6800,0.007704002,0.006723430,37.9,HFET
355381:7960,45:45,07/10/22 16:28:10,STABLE BEAMS,6800,0.007700330,0.006723537,37.9,HFET
355381:7960,46:46,07/10/22 16:28:34,STABLE BEAMS,6800,0.007696540,0.006724343,37.9,HFET
355381:7960,47:47,07/10/22 16:28:57,STABLE BEAMS,6800,0.007692336,0.006716953,37.9,HFET
355381:7960,48:48,07/10/22 16:29:20,STABLE BEAMS,6800,0.007687595,0.005222705,37.8,HFET
